"lakeid","hydro","estimate"
"TR",1994,-0.000243277207774773
"TR",1995,-0.0767641139325703
"TR",1996,-0.00943602690351632
"TR",1997,-0.0209557174044636
"TR",1998,-0.0155770345472557
"TR",1999,-0.00480899083332836
"TR",2000,-0.0222930324914436
"TR",2001,-0.0112447903615444
"TR",2002,-0.0292730560311722
"TR",2003,-0.0226111379578089
"TR",2004,-0.00895158685864012
"TR",2005,-0.00400333671188182
"TR",2006,-0.00949236247457401
"TR",2007,-0.0119121966644738
"TR",2008,-0.0145420840923972
"TR",2009,-0.00966518542749073
"TR",2010,-0.0547386887132185
"TR",2011,-0.0134712604342603
"TR",2012,-0.0181495449325251
"TR",2013,-0.0144253979750571
"TR",2014,-0.0102578543909929
"TR",2015,-0.0208758205852669
"TR",2016,0.0267190108645285
"TR",2017,-0.00838014422274088
"TR",2018,-0.0153905184572111
"TR",2019,-0.0198340329842501
