lakeid,year,daynum,sampledate,depth,event,wtemp,o2,o2sat
TB,2018,87,3/28/18,3,Chem,3.4,0.3,2.4
TB,2018,87,3/28/18,4,Chem,3.7,0.3,2.4
TB,2018,87,3/28/18,5,Chem,3.8,0.3,2.4
TB,2018,87,3/28/18,6,Chem,3.9,0.2,1.6
TB,2018,87,3/28/18,7,Chem,4.2,0.2,1.6
TB,2019,14,1/14/19,0,,0.7,0.3,2.2
TB,2019,14,1/14/19,1,,1.9,0.3,2.3
TB,2019,14,1/14/19,2,,3,0.2,1.6
TB,2019,14,1/14/19,3,,3.5,0.2,1.6
TB,2019,14,1/14/19,4,,3.6,0.2,1.6
TB,2019,14,1/14/19,5,,3.7,0.2,1.6
TB,2019,14,1/14/19,6,,3.8,0.2,1.6
TB,2019,14,1/14/19,7,,4.1,0.2,1.6
TB,2019,53,2/22/19,0,,0.6,0.5,3.7
TB,2019,53,2/22/19,1,,1.3,0.3,2.3
TB,2019,53,2/22/19,2,,2.7,0.2,1.6
TB,2019,53,2/22/19,3,,3.4,0.2,1.6
TB,2019,53,2/22/19,4,,3.6,0.2,1.6
TB,2019,53,2/22/19,5,,3.7,0.2,1.6
TB,2019,53,2/22/19,6,,3.9,0.2,1.6
TB,2019,53,2/22/19,7,,4.2,0.2,1.6
TB,2019,84,3/25/19,0,,0.5,7.9,58.2
TB,2019,84,3/25/19,1,,0.8,0.9,6.7
TB,2019,84,3/25/19,2,,2.3,0.4,3.1
TB,2019,84,3/25/19,3,,3.1,0.3,2.4
TB,2019,84,3/25/19,4,,3.5,0.3,2.4
TB,2019,84,3/25/19,5,,3.7,0.3,2.4
TB,2019,84,3/25/19,6,,3.9,0.2,1.6
TB,2019,84,3/25/19,7,,4.1,0.2,1.6
