lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
CB,1,1982,118,4/28/82,120,4/30/82,315,11/11/82,326,11/22/82
CB,1,1983,116,4/26/83,117,4/27/83,,,318,11/14/83
CB,1,1984,100,4/9/84,107,4/16/84,310,11/5/84,311,11/6/84
CB,1,1985,112,4/22/85,113,4/23/85,312,11/8/85,315,11/11/85
CB,1,1986,101,4/11/86,102,4/12/86,311,11/7/86,314,11/10/86
CB,1,1987,99,4/9/87,100,4/10/87,324,11/20/87,327,11/23/87
CB,1,1988,,,102,4/11/88,321,11/16/88,323,11/18/88
CB,1,1989,111,4/21/89,114,4/24/89,314,11/10/89,317,11/13/89
CB,1,1990,103,4/13/90,106,4/16/90,327,11/23/90,330,11/26/90
CB,1,1991,102,4/12/91,105,4/15/91,305,11/1/91,308,11/4/91
CB,1,1992,115,4/24/92,118,4/27/92,309,11/4/92,311,11/6/92
CB,1,1993,116,4/26/93,118,4/28/93,309,11/5/93,312,11/8/93
CB,1,1994,106,4/16/94,108,4/18/94,325,11/21/94,327,11/23/94
CB,1,1995,104,4/14/95,107,4/17/95,307,11/3/95,311,11/7/95
CB,1,1996,126,5/5/96,127,5/6/96,314,11/9/96,316,11/11/96
CB,1,1997,115,4/25/97,116,4/26/97,314,11/10/97,315,11/11/97
CB,1,1998,96,4/6/98,97,4/7/98,341,12/7/98,342,12/8/98
CB,1,1999,99,4/9/99,102,4/12/99,328,11/24/99,331,11/27/99
CB,1,2000,84,3/24/00,86,3/26/00,320,11/15/00,322,11/17/00
CB,1,2001,108,4/18/01,110,4/20/01,340,12/6/01,341,12/7/01
CB,1,2002,107,4/17/02,109,4/19/02,317,11/13/02,318,11/14/02
CB,1,2003,104,4/14/03,106,4/16/03,309,11/5/03,310,11/6/03
CB,1,2004,107,4/16/04,110,4/19/04,324,11/19/04,327,11/22/04
CB,1,2005,101,4/11/05,102,4/12/05,320,11/16/05,321,11/17/05
CB,1,2006,101,4/11/06,102,4/12/06,333,11/29/06,334,11/30/06
CB,1,2007,99,4/9/07,102,4/12/07,318,11/14/07,320,11/16/07
CB,1,2008,114,4/23/08,116,4/25/08,319,11/14/08,322,11/17/08
CB,1,2009,107,4/17/09,110,4/20/09,334,11/30/09,335,12/1/09
CB,1,2010,85,3/26/10,88,3/29/10,323,11/19/10,326,11/22/10
CB,1,2011,113,4/23/11,115,4/25/11,322,11/17/11,323,11/18/11
CB,1,2012,79,3/19/12,80,3/20/12,328,11/23/12,331,11/26/12
CB,1,2013,126,5/6/13,127,5/7/13,322,11/18/13,323,11/19/13
CB,1,2014,124,5/5/14,125,5/6/14,311,11/7/14,314,11/10/14
CB,1,2015,100,4/10/15,103,4/13/15,324,11/20/15,327,11/23/15
CB,1,2016,105,4/14/16,106,4/15/16,337,12/2/16,340,12/5/16
CB,1,2017,97,4/7/17,99,4/9/17,310,11/6/17,311,11/7/17
CB,1,2018,123,5/3/18,124,5/4/18,312,11/8/18,313,11/9/18
CB,1,2019,113,4/23/19,115,4/25/19,309,11/5/19,310,11/6/19
CR,1,1981,,,,,338,12/4/81,345,12/11/81
CR,1,1982,121,5/1/82,123,5/3/82,337,12/3/82,341,12/7/82
CR,1,1983,118,4/28/83,119,4/29/83,336,12/2/83,337,12/3/83
CR,1,1984,110,4/19/84,111,4/20/84,331,11/26/84,336,12/1/84
CR,1,1985,112,4/22/85,113,4/23/85,326,11/22/85,329,11/25/85
CR,1,1986,102,4/12/86,103,4/13/86,321,11/17/86,323,11/19/86
CR,1,1987,98,4/8/87,99,4/9/87,334,11/30/87,337,12/3/87
CR,1,1988,105,4/14/88,106,4/15/88,335,11/30/88,336,12/1/88
CR,1,1989,116,4/26/89,117,4/27/89,324,11/20/89,326,11/22/89
CR,1,1990,103,4/13/90,106,4/16/90,334,11/30/90,337,12/3/90
CR,1,1991,107,4/17/91,108,4/18/91,328,11/24/91,331,11/27/91
CR,1,1992,120,4/29/92,121,4/30/92,332,11/27/92,335,11/30/92
CR,1,1993,120,4/30/93,122,5/2/93,328,11/24/93,335,12/1/93
CR,1,1994,108,4/18/94,111,4/21/94,334,11/30/94,336,12/2/94
CR,1,1995,104,4/14/95,107,4/17/95,326,11/22/95,328,11/24/95
CR,1,1996,131,5/10/96,132,5/11/96,327,11/22/96,330,11/25/96
CR,1,1997,116,4/26/97,118,4/28/97,325,11/21/97,328,11/24/97
CR,1,1998,97,4/7/98,98,4/8/98,352,12/18/98,355,12/21/98
CR,1,1999,104,4/14/99,105,4/15/99,350,12/16/99,351,12/17/99
CR,1,2000,90,3/30/00,91,3/31/00,336,12/1/00,339,12/4/00
CR,1,2001,110,4/20/01,113,4/23/01,358,12/24/01,360,12/26/01
CR,1,2002,107,4/17/02,109,4/19/02,329,11/25/02,331,11/27/02
CR,1,2003,113,4/23/03,114,4/24/03,335,12/1/03,337,12/3/03
CR,1,2004,107,4/16/04,110,4/19/04,350,12/15/04,352,12/17/04
CR,1,2005,103,4/13/05,105,4/15/05,336,12/2/05,337,12/3/05
CR,1,2006,102,4/12/06,103,4/13/06,338,12/4/06,339,12/5/06
CR,1,2007,99,4/9/07,102,4/12/07,334,11/30/07,337,12/3/07
CR,1,2008,120,4/29/08,121,4/30/08,333,11/28/08,336,12/1/08
CR,1,2009,107,4/17/09,110,4/20/09,344,12/10/09,345,12/11/09
CR,1,2010,85,3/26/10,88,3/29/10,336,12/2/10,338,12/4/10
CR,1,2011,117,4/27/11,118,4/28/11,338,12/3/11,340,12/5/11
CR,1,2012,79,3/19/12,80,3/20/12,342,12/7/12,345,12/10/12
CR,1,2013,127,5/7/13,128,5/8/13,331,11/27/13,333,11/27/13
CR,1,2014,125,5/6/14,126,5/7/14,324,11/20/14,325,11/21/14
CR,1,2015,103,4/13/15,104,4/14/15,359,12/25/15,362,12/28/15
CR,1,2016,107,4/16/16,109,4/18/16,345,12/10/16,347,12/12/16
CR,1,2017,97,4/7/17,99,4/9/17,341,12/7/17,345,12/11/17
CR,1,2018,126,5/6/18,127,5/7/18,320,11/16/18,323,11/19/18
CR,1,2019,115,4/25/19,116,4/26/19,333,11/28/19,336,12/2/19
LR,1,1983,,,117,4/27/83,,,318,11/14/83
LR,1,1984,104,4/13/84,107,4/16/84,316,11/11/84,317,11/12/84
LR,1,1985,109,4/19/85,110,4/20/85,315,11/11/85,325,11/21/85
LR,1,1986,101,4/11/86,102,4/12/86,314,11/10/86,315,11/11/86
LR,1,1987,98,4/8/87,99,4/9/87,324,11/20/87,327,11/23/87
LR,1,1988,100,4/9/88,102,4/11/88,321,11/16/88,323,11/18/88
LR,1,1989,111,4/21/89,114,4/24/89,319,11/15/89,321,11/17/89
LR,1,1990,103,4/13/90,106,4/16/90,334,11/30/90,337,12/3/90
LR,1,1991,102,4/12/91,105,4/15/91,308,11/4/91,310,11/6/91
LR,1,1992,114,4/23/92,115,4/24/92,318,11/13/92,321,11/16/92
LR,1,1993,116,4/26/93,118,4/28/93,314,11/10/93,316,11/12/93
LR,1,1994,106,4/16/94,108,4/18/94,327,11/23/94,330,11/26/94
LR,1,1995,107,4/17/95,110,4/20/95,311,11/7/95,313,11/9/95
LR,1,1996,126,5/5/96,128,5/7/96,316,11/11/96,317,11/12/96
LR,1,1997,115,4/25/97,116,4/26/97,318,11/14/97,321,11/17/97
LR,1,1998,97,4/7/98,98,4/8/98,342,12/8/98,344,12/10/98
LR,1,1999,99,4/9/99,102,4/12/99,333,11/29/99,334,11/30/99
LR,1,2000,87,3/27/00,88,3/28/00,322,11/17/00,325,11/20/00
LR,2,1983,,,117,4/27/83,,,318,11/14/83
LR,2,1984,104,4/13/84,107,4/16/84,316,11/11/84,317,11/12/84
LR,2,1985,109,4/19/85,110,4/20/85,315,11/11/85,325,11/21/85
LR,2,1986,101,4/11/86,102,4/12/86,314,11/10/86,315,11/11/86
LR,2,1987,98,4/8/87,99,4/9/87,324,11/20/87,327,11/23/87
LR,2,1988,100,4/9/88,102,4/11/88,321,11/16/88,323,11/18/88
LR,2,1989,111,4/21/89,114,4/24/89,319,11/15/89,321,11/17/89
LR,2,1990,103,4/13/90,106,4/16/90,334,11/30/90,337,12/3/90
LR,2,1991,102,4/12/91,105,4/15/91,308,11/4/91,310,11/6/91
LR,2,1992,114,4/23/92,115,4/24/92,318,11/13/92,321,11/16/92
LR,2,1993,116,4/26/93,118,4/28/93,309,11/5/93,312,11/8/93
LR,2,1994,106,4/16/94,107,4/17/94,327,11/23/94,330,11/26/94
LR,2,1995,110,4/20/95,112,4/22/95,311,11/7/95,313,11/9/95
